rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,engagement_efficiency,likes_per_post_check
107,prillylatuconsina96,84,6500.0,48900000.0,372400.0,0.27,131800.0,2400000000.0,Indonesia,0.007615541922290388,369230.76923076925
108,louisvuitton,82,6500.0,48700000.0,127500.0,0.08,40500.0,824000000.0,France,0.002618069815195072,126769.23076923077
109,paulodybala,85,1300.0,48300000.0,1800000.0,2.88,1400000.0,2300000000.0,Unknown,0.037267080745341616,1769230.7692307692
110,blackpinkofficial,85,1400.0,48200000.0,2100000.0,2.77,1300000.0,3000000000.0,Unknown,0.043568464730290454,2142857.1428571427
111,dovecameron,85,170.0,48200000.0,1600000.0,1.75,841400.0,283000000.0,United States,0.03319502074688797,1664705.8823529412
112,garethbale11,86,980.0,48100000.0,763000.0,1.43,681300.0,753100000.0,Unknown,0.015862785862785864,768469.387755102
113,jokowi,85,3500.0,47700000.0,452600.0,0.41,189600.0,1600000000.0,Unknown,0.009488469601677148,457142.85714285716
114,nusr_et,81,2300.0,47300000.0,728200.0,0.29,133000.0,1700000000.0,United Arab Emirates,0.015395348837209302,739130.4347826086
115,harrystyles,57,590.0,46900000.0,4700000.0,6.38,2900000.0,2800000000.0,United States,0.10021321961620469,4745762.711864407
116,haileybieber,85,2100.0,46900000.0,2000000.0,3.47,1600000.0,4200000000.0,Unknown,0.042643923240938165,2000000.0
117,vanessahudgens,84,4200.0,46800000.0,633900.0,0.63,292900.0,2700000000.0,United States,0.013544871794871795,642857.1428571428
118,5-Minute Crafts GIRLY,85,10000.0,46500000.0,157000.0,0.03,12400.0,1600000000.0,United States,0.0033763440860215053,160000.0
119,zayn,82,160.0,46500000.0,4700000.0,8.81,4000000.0,773500000.0,United States,0.1010752688172043,4834375.0
120,larissamanoela,85,5200.0,46500000.0,579600.0,0.57,259399.99999999997,3000000000.0,Brazil,0.012464516129032257,576923.0769230769
121,travisscott,78,3200.0,46200000.0,3000000.0,5.71,2600000.0,9600000000.0,United States,0.06493506493506493,3000000.0
122,thenotoriousmma,82,3200.0,45900000.0,1100000.0,0.69,311500.0,3500000000.0,United States,0.023965141612200435,1093750.0
123,daddyyankee,80,20.0,45900000.0,652500.0,1.0,455300.0,18300000.0,Puerto Rico,0.014215686274509804,915000.0
124,natgeotravel,82,16900.0,45800000.0,189900.0,0.12,52800.0,3200000000.0,United States,0.004146288209606987,189349.1124260355
125,nikefootball,85,1800.0,45400000.0,431200.0,0.44,199800.0,784000000.0,United States,0.009497797356828194,435555.55555555556
126,stephencurry30,84,1100.0,45400000.0,1100000.0,2.76,1200000.0,1200000000.0,Unknown,0.024229074889867842,1090909.0909090908
127,vancityreynolds,86,680.0,44800000.0,1400000.0,2.61,1200000.0,925700000.0,Unknown,0.03125,1361323.5294117648
128,maisa,42,1500.0,44500000.0,553000.0,0.67,294100.0,820100000.0,Brazil,0.012426966292134831,546733.3333333334
129,luissuarez9,85,970.0,44200000.0,801800.0,0.96,414800.0,782500000.0,Unknown,0.018140271493212668,806701.030927835
130,gusttavolima,76,4900.0,43900000.0,475100.0,0.71,303900.0,2300000000.0,Brazil,0.010822323462414579,469387.7551020408
131,jannatzubair29,84,1600.0,43800000.0,1300000.0,2.18,944300.0,2200000000.0,Unknown,0.02968036529680365,1375000.0
132,varundvn,84,1900.0,43800000.0,1100000.0,1.48,640500.0,2000000000.0,India,0.02511415525114155,1052631.5789473683
133,hrithikroshan,85,580.0,43700000.0,1600000.0,3.82,1600000.0,949900000.0,C̫te d'Ivoire,0.036613272311212815,1637758.6206896552
134,nickyjampr,81,10000.0,43400000.0,381600.0,0.33,139300.0,3800000000.0,Colombia,0.0087926267281106,380000.0
135,buzzfeedtasty,85,8900.0,43200000.0,65099.99999999999,0.02,7700.0,580700000.0,Spain,0.0015069444444444442,65247.191011235955
136,brunamarquezine,84,3000.0,43100000.0,969700.0,1.05,444200.0,2900000000.0,United States,0.022498839907192574,966666.6666666666
137,caradelevingne,86,4400.0,42900000.0,790200.0,0.43,181000.0,3500000000.0,United States,0.01841958041958042,795454.5454545454
138,kapilsharma,83,950.0,42200000.0,736400.0,1.49,624500.0,710700000.0,Unknown,0.017450236966824646,748105.2631578947
139,badbunnypr,83,10.0,42100000.0,3700000.0,13.09,5400000.0,67500000.0,Unknown,0.08788598574821853,6750000.0
140,britneyspears,80,3000.0,42100000.0,513100.0,0.55,221700.0,1600000000.0,Turkey,0.012187648456057007,533333.3333333334
141,j.m,83,20.0,41900000.0,14200000.0,26.41,11000000.0,368100000.0,Unknown,0.33890214797136037,18405000.0
142,mariliamendoncacantora,73,1400.0,41800000.0,1000000.0,1.98,818600.0,1500000000.0,Brazil,0.023923444976076555,1071428.5714285714
143,norafatehi,83,1700.0,41600000.0,1400000.0,1.76,727500.0,2300000000.0,Anguilla,0.03365384615384615,1352941.1764705882
144,theweeknd,83,670.0,41500000.0,1100000.0,3.97,1600000.0,767000000.0,Unknown,0.02650602409638554,1144776.119402985
145,dior,85,9700.0,41500000.0,88800.0,0.16,63600.0,863000000.0,Unknown,0.0021397590361445784,88969.07216494845
146,ranveersingh,85,1800.0,40800000.0,1000000.0,0.76,299300.0,1800000000.0,Switzerland,0.024509803921568627,1000000.0
147,marinaruybarbosa,81,2100.0,40700000.0,586400.0,0.01,0.0,1200000000.0,Brazil,0.014407862407862407,571428.5714285715
148,jenniferaniston,85,90.0,40700000.0,4600000.0,1.88,731000.0,452000000.0,Unknown,0.11302211302211303,5022222.222222222
149,addisonraee,85,300.0,40100000.0,3100000.0,2.49,994400.0,957900000.0,Unknown,0.0773067331670823,3193000.0
150,andresiniesta8,85,2000.0,40000000.0,250800.0,0.41,161700.0,500500000.0,Spain,0.00627,250250.0
151,princessyahrini,81,4500.0,40000000.0,118300.0,0.22,87400.0,529900000.0,Indonesia,0.0029575,117755.55555555556
152,liverpoolfc,75,10000.0,39900000.0,346700.0,0.42,162900.0,3500000000.0,United Kingdom,0.008689223057644111,350000.0
153,teddysphotos,80,2300.0,39900000.0,715500.0,0.46,181100.0,1700000000.0,United States,0.017932330827067668,739130.4347826086
154,worldstar,78,11600.0,39200000.0,157400.0,0.23,84400.0,1800000000.0,United States,0.0040153061224489795,155172.41379310345
155,natashawilona12,84,1200.0,39200000.0,486500.0,0.59,227700.0,563900000.0,Unknown,0.012410714285714285,469916.6666666667
156,mahi7781,58,100.0,39100000.0,4099999.9999999995,0.17,0.0,439400000.0,Unknown,0.10485933503836316,4394000.0
157,georginagio,74,730.0,39100000.0,2200000.0,8.56,3300000.0,1600000000.0,Unknown,0.056265984654731455,2191780.821917808
158,cznburak,80,1800.0,39000000.0,815800.0,1.01,383300.0,1400000000.0,Unknown,0.020917948717948717,777777.7777777778
159,chrissyteigen,79,5100.0,38900000.0,623100.0,0.43,162100.0,3200000000.0,United States,0.016017994858611825,627450.9803921569
160,ruben_onsu,75,13400.0,38800000.0,139300.0,0.13,49100.0,1900000000.0,Indonesia,0.0035902061855670104,141791.0447761194
161,wizkhalifa,80,500.0,38700000.0,398700.0,0.31,115700.0,199800000.0,United States,0.01030232558139535,399600.0
162,hm,83,7300.0,38500000.0,88400.0,0.06,22400.0,644100000.0,Sweden,0.0022961038961038962,88232.87671232877
163,anushkasen0408,85,5300.0,38300000.0,695400.0,1.75,658300.0,3700000000.0,Unknown,0.018156657963446475,698113.2075471698
164,prattprattpratt,84,730.0,38300000.0,813500.0,1.0,363800.0,594700000.0,Unknown,0.021240208877284596,814657.5342465753
165,marvelstudios,83,2700.0,38100000.0,594200.0,1.58,555900.0,1600000000.0,Unknown,0.015595800524934382,592592.5925925926
166,wesleysafadao,80,8900.0,37400000.0,256100.00000000003,0.02,0.0,2300000000.0,Unknown,0.0068475935828877016,258426.96629213484
167,parineetichopra,84,1300.0,37400000.0,505700.0,0.68,246900.0,672100000.0,Unknown,0.013521390374331551,517000.0
168,rkive,83,110.0,37000000.0,10900000.0,,0.0,1200000000.0,Unknown,0.2945945945945946,10909090.909090908
